# Row; Col; Label
566; 1498; CCA
752; 1374; CCA
619; 542; Pavon
162; 1242; CCA
994; 1349; CCA
534; 713; CCA
351; 380; CCA
1845; 1702; CCA
1584; 556; Pocill
1354; 1595; Macro
1121; 966; Pocill
494; 1310; Macro
1202; 276; Pocill
411; 1210; CCA
118; 446; CCA
388; 1662; CCA
951; 1051; Monta
1479; 1077; Pocill
1746; 897; Pocill
1306; 1416; CCA
1733; 1713; CCA
1689; 1249; Pocill
1277; 88; Pocill
393; 1388; CCA
206; 1759; CCA
1686; 1276; Pocill
130; 474; CCA
684; 1352; CCA
891; 102; CCA
1630; 1087; Pocill
1140; 1463; CCA
467; 917; CCA
366; 1038; CCA
1114; 285; Pocill
1486; 1512; Macro
296; 1772; CCA
403; 741; Pocill
507; 769; Pocill
1774; 238; Pocill
1768; 731; Pocill
743; 1193; CCA
728; 1217; CCA
905; 91; Off
216; 1674; CCA
405; 377; CCA
1369; 1686; Macro
994; 1215; CCA
874; 1477; CCA
1597; 1332; Macro
1206; 717; Pocill
983; 776; CCA
166; 1481; CCA
1741; 1572; CCA
397; 942; CCA
1647; 1057; Pocill
784; 178; Monti
1345; 227; CCA
590; 971; CCA
125; 1780; Off
1146; 556; CCA
1440; 547; Pocill
187; 736; CCA
527; 406; Acrop
1386; 418; Pocill
1829; 1344; CCA
1759; 1329; CCA
774; 831; Pocill
1412; 279; Pocill
944; 363; Pocill
769; 971; Pocill
1706; 1099; Pocill
900; 1651; CCA
1235; 232; Pocill
1806; 1529; CCA
1807; 452; Pocill
660; 790; Pocill
1626; 729; Pocill
1281; 578; Pocill
886; 979; Pocill
1823; 1106; Pocill
452; 1459; CCA
1349; 273; CCA
870; 1018; Pocill
1448; 1648; CCA
259; 1793; CCA
1343; 379; CCA
1216; 1476; CCA
721; 919; Pocill
1805; 419; Pocill
736; 1287; CCA
1023; 1046; Acrop
1632; 623; Pocill
1100; 678; Monta
809; 1203; CCA
534; 1085; Macro
819; 399; CCA
1159; 417; Pocill
168; 153; CCA
1485; 759; Pocill
671; 1016; CCA
1777; 501; Pocill
1257; 503; Pocill
853; 1499; CCA
1410; 239; CCA
878; 780; CCA
182; 1095; Macro
993; 157; Pocill
1042; 443; Pocill
266; 838; CCA
770; 1061; Pocill
230; 430; CCA
632; 1497; CCA
729; 1316; CCA
1457; 361; Pocill
1582; 1078; Pocill
1425; 598; Pocill
359; 215; CCA
1176; 841; Pocill
1379; 874; Pocill
130; 375; CCA
681; 222; Acrop
1497; 804; Pocill
1181; 848; Pocill
1526; 1031; Pocill
1365; 745; Pocill
570; 1664; CCA
351; 944; CCA
242; 1295; CCA
1612; 1758; CCA
1549; 1510; Macro
215; 368; CCA
234; 343; Pavon
256; 167; CCA
1569; 1646; CCA
1657; 753; Pocill
941; 1016; Pocill
308; 576; CCA
856; 559; CCA
1208; 1516; CCA
1767; 1293; Pocill
704; 918; Pocill
993; 687; CCA
1317; 488; Pocill
139; 1569; CCA
1810; 1092; Pocill
288; 387; CCA
1835; 492; Off
1518; 456; Pocill
882; 270; CCA
672; 1434; CCA
1041; 239; Pocill
1216; 1098; Acrop
1612; 579; Pocill
670; 713; Pocill
239; 1012; CCA
1522; 1600; Macro
1520; 389; Pocill
652; 851; Pocill
296; 207; CCA
330; 897; CCA
913; 201; CCA
633; 1790; CCA
1289; 728; Pocill
1240; 1045; Acrop
1539; 682; Pocill
1304; 1068; Pocill
1551; 88; Macro
851; 895; Pocill
1610; 207; Pocill
1137; 452; Pocill
547; 786; Pocill
546; 887; CCA
1811; 825; Pocill
1456; 324; Pocill
1142; 1571; CCA
663; 524; CCA
1112; 198; Pocill
482; 1007; CCA
1761; 196; Pocill
1406; 373; Pocill
594; 1181; CCA
1271; 921; Pocill
443; 1650; CCA
692; 353; CCA
617; 371; Acrop
902; 1611; Macro
961; 723; CCA
1225; 227; Pocill
652; 1276; CCA
869; 1003; Pocill
294; 1294; Macro
505; 768; Pocill
196; 1293; CCA
1392; 511; Pocill
1520; 92; CCA
1159; 1689; CCA
344; 1719; CCA
375; 1278; Macro
1442; 1108; Pocill
1278; 344; CCA
